start_s,end_s,band,freq_min_hz,freq_max_hz
47.299,47.601,bass,60,250
47.926,48.135,sub_bass,20,60
48.228,48.669,sub_bass,20,60
48.669,48.855,bass,60,250
49.203,49.714,sub_bass,20,60
49.830,50.155,bass,60,250
50.480,50.689,sub_bass,20,60
50.782,51.061,sub_bass,20,60
51.223,51.757,bass,60,250
51.757,52.245,sub_bass,20,60
52.547,52.709,bass,60,250
53.034,53.243,sub_bass,20,60
53.336,53.777,sub_bass,20,60
54.288,54.822,sub_bass,20,60
55.589,55.798,sub_bass,20,60
55.890,56.332,sub_bass,20,60
56.448,56.842,bass,60,250
56.842,57.353,sub_bass,20,60
57.493,57.678,bass,60,250
57.841,58.003,bass,60,250
58.120,58.375,sub_bass,20,60
58.445,58.886,sub_bass,20,60
59.234,59.397,bass,60,250
59.397,59.907,sub_bass,20,60
60.674,60.906,sub_bass,20,60
60.999,61.417,sub_bass,20,60
61.417,61.626,bass,60,250
61.719,61.951,bass,60,250
61.951,62.462,sub_bass,20,60
62.601,62.787,bass,60,250
62.949,63.112,bass,60,250
63.228,63.460,sub_bass,20,60
63.553,63.994,sub_bass,20,60
64.505,65.016,sub_bass,20,60
65.155,65.457,bass,60,250
65.782,66.014,sub_bass,20,60
66.107,66.548,sub_bass,20,60
66.688,67.059,bass,60,250
67.059,67.570,sub_bass,20,60
67.709,67.895,bass,60,250
68.058,68.220,bass,60,250
68.336,68.569,sub_bass,20,60
68.661,69.079,sub_bass,20,60
69.613,70.124,sub_bass,20,60
70.891,71.123,sub_bass,20,60
71.216,71.634,sub_bass,20,60
71.634,72.168,bass,60,250
72.168,72.655,sub_bass,20,60
72.818,73.004,bass,60,250
73.166,73.329,bass,60,250
73.445,73.654,sub_bass,20,60
73.747,74.188,sub_bass,20,60
74.722,75.209,sub_bass,20,60
75.372,75.535,bass,60,250
75.999,76.208,sub_bass,20,60
76.301,76.742,sub_bass,20,60
76.904,77.276,bass,60,250
77.276,77.764,sub_bass,20,60
77.926,78.089,bass,60,250
78.553,78.762,sub_bass,20,60
78.855,79.296,sub_bass,20,60
79.830,80.318,sub_bass,20,60
81.084,81.340,sub_bass,20,60
81.409,81.850,sub_bass,20,60
81.850,82.083,mid,500,2000
82.384,82.872,sub_bass,20,60
83.011,83.220,bass,60,250
83.661,83.870,sub_bass,20,60
83.963,84.405,sub_bass,20,60
84.706,84.869,mid,500,2000
84.915,85.426,sub_bass,20,60
85.589,85.867,bass,60,250
86.192,86.425,sub_bass,20,60
86.518,86.959,sub_bass,20,60
87.098,87.470,bass,60,250
87.470,87.980,sub_bass,20,60
88.120,88.305,bass,60,250
88.747,88.979,sub_bass,20,60
89.072,89.513,sub_bass,20,60
90.024,90.535,sub_bass,20,60
91.301,91.533,sub_bass,20,60
91.626,92.044,sub_bass,20,60
92.044,92.578,bass,60,250
92.578,93.089,sub_bass,20,60
93.228,93.391,bass,60,250
93.855,94.087,sub_bass,20,60
94.180,94.621,sub_bass,20,60
95.132,95.643,sub_bass,20,60
96.409,96.641,sub_bass,20,60
96.734,97.152,sub_bass,20,60
97.245,97.686,bass,60,250
97.686,98.197,sub_bass,20,60
98.685,98.847,bass,60,250
98.963,99.196,sub_bass,20,60
99.289,99.706,sub_bass,20,60
100.241,100.728,sub_bass,20,60
101.518,101.750,sub_bass,20,60
101.820,102.261,sub_bass,20,60
102.261,102.539,bass,60,250
102.586,102.795,bass,60,250
102.795,103.282,sub_bass,20,60
103.538,103.747,bass,60,250
104.072,104.304,sub_bass,20,60
104.374,104.815,sub_bass,20,60
105.349,105.837,sub_bass,20,60
106.022,106.185,mid,500,2000
106.626,106.835,sub_bass,20,60
106.928,107.369,sub_bass,20,60
107.532,107.903,bass,60,250
107.903,108.391,sub_bass,20,60
108.553,108.855,bass,60,250
